cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/3/2016,11/6/2016,ABC News/Washington Post,A+,2220.0,lv,8.720654,47.0,43.0,4.0,,45.20163,41.7243,4.626221,,,https://www.washingtonpost.com/news/the-fix/wp/2016/11/07/post-abc-tracking-poll-clinton-47-trump-43-on-election-eve/,48630,76192,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/1/2016,11/7/2016,Google Consumer Surveys,B,26574.0,lv,7.628472,38.03,35.69,5.46,,43.34557,41.21439,5.1757919999999995,,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,48847,76443,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/2/2016,11/6/2016,Ipsos,A-,2195.0,lv,6.424334,42.0,39.0,6.0,,42.026379999999996,38.8162,6.844734,,,http://projects.fivethirtyeight.com/polls/20161108_National_2.pdf,48922,76636,11/8/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/4/2016,11/7/2016,YouGov,B,3677.0,lv,6.087135,45.0,41.0,5.0,,45.65676,40.92004,6.069454,,,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/l37rosbwjp/econTabReport_lv.pdf,48687,76262,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/3/2016,11/6/2016,Gravis Marketing,B-,16639.0,rv,5.3164489999999995,47.0,43.0,3.0,,46.84089,42.33184,3.7260980000000004,,,http://www.gravispolls.com/2016/11/final-national-poll-2016-gravis.html?m=1,48848,76444,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/3/2016,11/6/2016,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1295.0,lv,5.218141,48.0,44.0,3.0,,49.022079999999995,43.956309999999995,3.057876,,,http://www.foxnews.com/politics/2016/11/07/fox-news-poll-results-11716.html,48619,76163,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/2/2016,11/6/2016,CBS News/New York Times,A-,1426.0,lv,4.881873000000001,45.0,41.0,5.0,,45.11649,40.92722,4.341786,,,http://www.cbsnews.com/news/cbs-news-poll-state-of-the-race-the-day-before-election-day/,48521,76058,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/3/2016,11/5/2016,NBC News/Wall Street Journal,A-,1282.0,lv,4.836171,44.0,40.0,6.0,,43.58576,40.77325,5.365787999999999,,,http://www.nbcnews.com/storyline/2016-election-day/final-nbc-wsj-poll-clinton-holds-four-point-national-lead-n678611,48480,75974,11/6/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,New Mexico,11/6/2016,11/6/2016,Zia Poll,,8439.0,lv,4.6094919999999995,46.0,44.0,6.0,,44.82594,41.599779999999996,7.870127,,,http://projects.fivethirtyeight.com.s3.amazonaws.com/polls/20161107_NM.pdf,48614,76158,11/7/16,09:35:33  8 Nov 2016
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,U.S.,11/4/2016,11/7/2016,IBD/TIPP,A-,1107.0,lv,4.520075,41.2,42.7,7.1,,42.92745,42.23545,6.316175,,,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,48916,76611,11/8/16,09:35:33  8 Nov 2016
