state,type,pollster,startdate,enddate,rawpoll_clinton,rawpoll_trump,adjpoll_clinton,adjpoll_trump
U.S.,now-cast,ABC News/Washington Post,11/3/2016,11/6/2016,47.0,43.0,45.23046,41.68534
U.S.,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,38.03,35.69,43.36603,41.20737
U.S.,now-cast,Ipsos,11/2/2016,11/6/2016,42.0,39.0,42.05478,38.81421
U.S.,now-cast,YouGov,11/4/2016,11/7/2016,45.0,41.0,45.60811,40.89765
U.S.,now-cast,Gravis Marketing,11/3/2016,11/6/2016,47.0,43.0,46.93448,42.38145
U.S.,now-cast,Fox News/Anderson Robbins Research/Shaw & Company Research,11/3/2016,11/6/2016,48.0,44.0,49.05091,43.87675
U.S.,now-cast,CBS News/New York Times,11/2/2016,11/6/2016,45.0,41.0,45.22564000000001,40.9133
U.S.,now-cast,NBC News/Wall Street Journal,11/3/2016,11/5/2016,44.0,40.0,43.70625,40.96978
New Mexico,now-cast,Zia Poll,11/6/2016,11/6/2016,46.0,44.0,45.04927,41.92541
U.S.,now-cast,IBD/TIPP,11/4/2016,11/7/2016,41.2,42.7,42.99451,42.26119
U.S.,now-cast,Selzer & Company,11/4/2016,11/6/2016,44.0,41.0,44.21228,40.57155
U.S.,now-cast,Angus Reid Global,11/1/2016,11/4/2016,48.0,44.0,47.57094,43.67714
U.S.,now-cast,Monmouth University,11/3/2016,11/6/2016,50.0,44.0,48.77505,43.38182000000001
Virginia,now-cast,Public Policy Polling,11/3/2016,11/4/2016,48.0,43.0,47.457,42.35281
U.S.,now-cast,Marist College,11/1/2016,11/3/2016,44.0,43.0,42.64727,43.44054000000001
Iowa,now-cast,Selzer & Company,11/1/2016,11/4/2016,39.0,46.0,39.36898,45.67372
U.S.,now-cast,The Times-Picayune/Lucid,11/5/2016,11/7/2016,45.0,40.0,45.14153,42.23857
Wisconsin,now-cast,Marquette University,10/26/2016,10/31/2016,46.0,40.0,46.10277,41.02478
North Carolina,now-cast,Siena College,11/4/2016,11/6/2016,44.0,44.0,44.26048,44.98719000000001
Georgia,now-cast,Landmark Communications,11/6/2016,11/6/2016,46.0,49.0,44.93772,48.44736
Florida,now-cast,Quinnipiac University,11/3/2016,11/6/2016,46.0,45.0,46.36561,43.9599
North Carolina,now-cast,Quinnipiac University,11/3/2016,11/6/2016,47.0,45.0,47.36008,43.9571
Virginia,now-cast,ABC News/Washington Post,10/27/2016,10/30/2016,48.0,42.0,46.41451,41.55307
U.S.,now-cast,USC Dornsife/LA Times,11/1/2016,11/7/2016,43.61,46.84,45.30736,43.36107
Georgia,now-cast,Gravis Marketing,11/3/2016,11/6/2016,44.0,48.0,43.9247,47.3765
Oregon,now-cast,Gravis Marketing,11/3/2016,11/6/2016,44.0,40.0,43.94072,39.38461
U.S.,now-cast,"RKM Research and Communications, Inc.",11/1/2016,11/5/2016,47.6,44.4,47.61892,43.12712
Ohio,now-cast,Gravis Marketing,11/3/2016,11/6/2016,42.0,48.0,41.93433,47.38138
South Carolina,now-cast,Gravis Marketing,11/3/2016,11/6/2016,43.0,48.0,42.925,47.37665
Ohio,now-cast,YouGov,11/2/2016,11/4/2016,45.0,46.0,44.87926,45.07765
Virginia,now-cast,Remington,11/1/2016,11/2/2016,46.0,44.0,45.23176,41.96497
New York,now-cast,Gravis Marketing,11/3/2016,11/6/2016,55.0,36.0,54.9355,35.38197
Michigan,now-cast,Public Policy Polling,11/3/2016,11/4/2016,46.0,41.0,45.46421,40.35653
