State,Pollster,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Winner
Alabama,Google Consumer Surveys,20.762857142857143,55.39285714285713,27.216250714285717,63.462727857142866,Trump
Alabama,SurveyMonkey,35.5,53.25,34.36135500000001,53.87164583333334,Trump
Alaska,Google Consumer Surveys,30.042666666666666,36.06466666666667,36.721634,44.67468133333333,Trump
Alaska,SurveyMonkey,33.75,45.66666666666666,32.70103083333333,46.57718166666667,Trump
Arizona,Google Consumer Surveys,37.91642857142858,33.035714285714285,44.598735714285716,41.57607214285714,Clinton
Arizona,SurveyMonkey,42.46153846153846,42.692307692307686,41.382604615384615,43.66886769230769,Trump
Arkansas,Google Consumer Surveys,31.485714285714288,40.667142857142856,38.09430285714287,49.05598642857144,Trump
Arkansas,SurveyMonkey,35.333333333333336,53.0,34.23905666666667,53.76456666666667,Trump
California,Google Consumer Surveys,45.675,26.999285714285712,52.34430357142857,35.51291714285715,Clinton
California,SurveyMonkey,54.214285714285715,29.785714285714285,53.543903571428565,31.103639285714284,Clinton
Colorado,Google Consumer Surveys,40.31357142857143,27.163571428571434,47.05136428571429,35.817972142857144,Clinton
Colorado,SurveyMonkey,43.230769230769226,38.846153846153854,42.16780076923077,39.87955615384615,Clinton
Connecticut,Google Consumer Surveys,41.69785714285714,28.692857142857147,48.46682,37.41131857142857,Clinton
Connecticut,SurveyMonkey,50.58333333333334,37.083333333333336,49.53490333333334,37.99558916666667,Clinton
Delaware,Google Consumer Surveys,37.368571428571435,28.645000000000003,44.00091714285714,37.08267357142857,Clinton
Delaware,SurveyMonkey,50.08333333333334,36.41666666666666,48.99584666666666,37.2031125,Clinton
District of Columbia,Google Consumer Surveys,53.286428571428566,18.916428571428572,60.24984500000002,28.034551428571426,Clinton
District of Columbia,SurveyMonkey,87.0,5.181818181818182,85.66991181818183,5.795300363636364,Clinton
Florida,Google Consumer Surveys,34.32571428571429,40.43142857142857,40.961510714285716,48.876190714285705,Trump
Florida,SurveyMonkey,46.153846153846146,44.230769230769226,45.06152846153846,45.15968384615386,Trump
Georgia,Google Consumer Surveys,30.94857142857143,41.99642857142858,37.428605714285716,50.121056428571436,Trump
Georgia,SurveyMonkey,44.0,44.769230769230774,42.86286692307692,45.53858692307693,Trump
Hawaii,Google Consumer Surveys,47.008571428571436,24.607857142857146,53.835672857142846,33.44580928571428,Clinton
Hawaii,SurveyMonkey,51.08333333333334,30.08333333333333,50.05152500000001,31.049129166666663,Clinton
Idaho,Google Consumer Surveys,24.25866666666667,39.032,30.886752000000005,47.53485533333333,Trump
Idaho,SurveyMonkey,29.5,47.91666666666666,28.43563333333334,48.77758749999999,Trump
Illinois,Google Consumer Surveys,37.85928571428571,29.21142857142857,44.49087571428571,37.64754928571429,Clinton
Illinois,SurveyMonkey,51.58333333333334,34.666666666666664,50.4956325,35.45241666666666,Clinton
Indiana,Google Consumer Surveys,33.998571428571424,33.74071428571428,40.586935714285715,42.08799785714286,Trump
Indiana,SurveyMonkey,35.25,50.5,34.149942499999995,51.24594333333332,Trump
Iowa,Google Consumer Surveys,35.678571428571416,31.399285714285718,42.415909285714285,40.05274571428572,Clinton
Iowa,SurveyMonkey,38.692307692307686,45.07692307692307,37.62920769230769,46.10985615384615,Trump
Kansas,Google Consumer Surveys,39.67142857142857,29.775,46.37305785714285,38.35507285714285,Clinton
Kansas,SurveyMonkey,35.666666666666664,47.5,34.59898916666667,48.35024833333333,Trump
Kentucky,Google Consumer Surveys,30.99421052631579,38.162631578947355,37.66996999999999,46.89221157894736,Trump
Kentucky,SurveyMonkey,32.416666666666664,56.58333333333334,31.32402083333333,57.35315166666666,Trump
Louisiana,Google Consumer Surveys,26.297857142857126,49.05785714285714,32.78498571428572,57.197062857142846,Trump
Louisiana,SurveyMonkey,37.083333333333336,52.0,35.95433333333333,52.65271083333334,Trump
Maine,Google Consumer Surveys,41.49214285714286,27.687142857142852,48.356723571428574,36.602125,Clinton
Maine,SurveyMonkey,47.83333333333334,37.083333333333336,46.81223833333333,38.0836425,Clinton
Maryland,Google Consumer Surveys,46.25571428571429,25.592142857142864,52.849247857142856,33.950045,Clinton
Maryland,SurveyMonkey,61.08333333333334,27.25,59.98475166666668,28.00070333333333,Clinton
Massachusetts,Google Consumer Surveys,48.897142857142846,23.255,55.847329285714295,32.345930714285714,Clinton
Massachusetts,SurveyMonkey,56.91666666666666,28.91666666666667,55.920045,29.995815,Clinton
Michigan,Google Consumer Surveys,36.21857142857143,31.372142857142855,42.882087142857145,39.87388285714286,Clinton
Michigan,SurveyMonkey,43.53846153846154,41.07692307692308,42.454121538461536,42.0342376923077,Clinton
Minnesota,Google Consumer Surveys,36.784285714285716,27.544285714285717,43.501856428571436,36.15712214285714,Clinton
Minnesota,SurveyMonkey,46.16666666666666,37.0,45.10354666666667,37.864929166666656,Clinton
