State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Kentucky,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,32.6,35.16,39.83683,43.565,120
Rhode Island,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,46.4,30.9,54.47926,40.12908,5
Maine,now-cast,Emerson College,9/2/2016,9/5/2016,44.0,35.0,46.90045,37.05788,16
Connecticut,now-cast,Ipsos,9/2/2016,9/22/2016,47.33,37.36,47.2629,38.01037,8
Delaware,now-cast,University of Delaware,9/16/2016,9/28/2016,51.0,30.0,51.95494,32.70745,3
Maine,now-cast,SurveyMonkey,8/9/2016,9/1/2016,37.0,34.0,39.55135,40.06468,16
Massachusetts,now-cast,Ipsos,9/23/2016,10/6/2016,48.99,29.85,48.30069,31.03746,14
Indiana,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,31.81,35.98,39.33885,45.50871,92
Virginia,now-cast,Ipsos,10/14/2016,10/27/2016,48.11,39.3,46.85054,40.10571,134
Vermont,now-cast,SurveyMonkey,10/29/2016,11/4/2016,59.0,25.0,57.70689,24.70291,14
Pennsylvania,now-cast,Rasmussen Reports/Pulse Opinion Research,10/27/2016,10/31/2016,43.0,44.0,43.57881,44.98867,67
Maine,now-cast,Emerson College,10/28/2016,10/30/2016,46.0,42.0,46.2357,40.91833,16
Texas,now-cast,SurveyMonkey,10/26/2016,11/1/2016,41.0,47.0,39.6544,47.19326,254
Massachusetts,now-cast,Ipsos,8/5/2016,8/18/2016,52.52,29.58,52.42647,31.92792,14
Nevada,now-cast,Ipsos,9/30/2016,10/20/2016,47.68,43.43,46.01701,44.36553,17
Arkansas,now-cast,University of Arkansas,10/18/2016,10/25/2016,31.3,51.1,31.07076,52.11427,75
North Carolina,now-cast,Ipsos,10/14/2016,10/20/2016,47.13,43.37,45.92402,44.55362,100
Michigan,now-cast,SurveyMonkey,10/17/2016,10/25/2016,44.0,40.0,42.56192,41.7818,83
Mississippi,now-cast,"Mason-Dixon Polling & Research, Inc.",3/28/2016,3/30/2016,43.0,46.0,41.90289,49.32194000000001,82
Massachusetts,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,42.9,28.07,51.12153,37.59206,14
Oregon,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,48.01,26.47,54.82867,35.36646,36
Colorado,now-cast,Ipsos,9/16/2016,9/29/2016,43.25,45.22,42.24414,44.92477,64
South Dakota,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,28.25,44.01,33.69718,52.60867,66
Wisconsin,now-cast,Emerson College,9/19/2016,9/20/2016,44.5,38.4,46.85537,39.39091,72
Virginia,now-cast,YouGov,8/2/2016,8/5/2016,49.0,37.0,51.7969,41.19548,134
North Carolina,now-cast,Quinnipiac University,11/3/2016,11/6/2016,47.0,45.0,47.36008,43.9571,100
Florida,now-cast,Gravis Marketing,10/4/2016,10/4/2016,47.0,45.0,47.94366,47.6294,67
Ohio,now-cast,Monmouth University,8/18/2016,8/21/2016,43.0,39.0,44.14548,42.60386,88
Georgia,now-cast,SurveyMonkey,10/24/2016,10/30/2016,44.0,46.0,42.61785,46.48604,159
Louisiana,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,22.83,49.2,28.74057,57.61763000000001,64
South Dakota,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,22.75,43.0,30.58206,52.00003,66
West Virginia,now-cast,SurveyMonkey,10/24/2016,10/30/2016,27.0,59.0,25.65565,59.681,55
District of Columbia,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,58.06,21.25,63.7855,30.74612,1
Kansas,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,36.4,33.94,44.27212,43.22723,105
Idaho,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,27.77,37.57,33.11958,45.44027,44
Maine,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,45.25,17.56,53.07482,28.11895,16
Maine,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,36.58,36.27,42.05247,45.15741,16
Arkansas,now-cast,SurveyMonkey,10/30/2016,11/6/2016,34.0,55.0,32.60603,54.41196,75
Wisconsin,now-cast,Marquette University,2/18/2016,2/21/2016,48.0,37.0,47.38209000000001,40.26993,72
Washington,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,43.08,27.17,50.76653,37.46188,39
Utah,now-cast,SurveyMonkey,10/27/2016,11/2/2016,30.0,33.0,28.66256,32.97923,29
Kansas,now-cast,SurveyMonkey,10/29/2016,11/4/2016,36.0,48.0,34.67448,47.66034000000001,105
Ohio,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,31.14,34.34,38.84125,43.16471,88
Virginia,now-cast,Quinnipiac University,9/13/2016,9/21/2016,45.0,39.0,47.60131,40.94564,134
North Carolina,now-cast,SurveyMonkey,8/9/2016,9/1/2016,40.0,41.0,42.00803,46.13603,100
New Mexico,now-cast,Ipsos,9/2/2016,9/22/2016,46.94,37.92,43.85522,35.51757,33
Alaska,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,47.46,36.7,54.28901,45.6182,29
California,now-cast,Ipsos,9/30/2016,10/6/2016,61.26,27.86,60.55125,29.12021,58
Wisconsin,now-cast,Gravis Marketing,3/28/2016,3/30/2016,49.0,41.0,50.2513,45.25406,72
Tennessee,now-cast,SurveyMonkey,10/26/2016,11/1/2016,40.0,51.0,38.65477,51.19453,95
Maryland,now-cast,SurveyMonkey,10/30/2016,11/6/2016,60.0,29.0,58.6037,28.41057,24
Vermont,now-cast,"Fairbank, Maslin, Maullin, Metz & Associates",6/26/2016,6/29/2016,39.0,24.0,45.07385,29.753190000000004,14
Michigan,now-cast,SurveyMonkey,10/25/2016,10/31/2016,43.0,42.0,41.65435,42.44075,83
Nevada,now-cast,TargetPoint,6/14/2016,6/18/2016,45.0,46.0,45.47756,47.65926,17
Ohio,now-cast,Ipsos,10/31/2016,11/6/2016,47.04,46.0,46.19968,44.90851,88
New Mexico,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,36.08,27.95,43.91854,37.52477,33
Kentucky,now-cast,SurveyMonkey,10/27/2016,11/2/2016,35.0,56.0,33.66338,55.9794,120
Idaho,now-cast,Google Consumer Surveys,10/25/2016,10/27/2016,29.0,41.0,34.43622,48.08837,44
West Virginia,now-cast,Ipsos,8/12/2016,9/1/2016,37.84,54.98,37.73473,56.46961,55
Alabama,now-cast,YouGov,10/4/2016,11/6/2016,31.6,52.6,32.361290000000004,54.6489,67
North Dakota,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,27.46,37.9,32.92256,46.67426,53
North Dakota,now-cast,SurveyMonkey,10/17/2016,10/25/2016,31.0,49.0,29.579290000000004,51.02576,53
Florida,now-cast,Cherry Communications,10/16/2016,10/19/2016,46.0,42.0,46.8121,44.71899000000001,67
Missouri,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,34.39,31.95,41.61463,40.33745,115
Alaska,now-cast,SurveyMonkey,10/18/2016,10/26/2016,31.0,46.0,29.56973,47.80209,29
Iowa,now-cast,Ipsos,10/7/2016,10/27/2016,44.39,41.78,42.67865,42.82497,99
Mississippi,now-cast,SurveyMonkey,10/17/2016,10/25/2016,42.0,50.0,40.53245,51.36791,82
Florida,now-cast,Ipsos,9/2/2016,9/8/2016,46.88,47.17,47.53189,48.69442,67
Montana,now-cast,Ipsos,9/2/2016,9/22/2016,36.29,53.6,34.72778,52.74599,56
North Carolina,now-cast,SurveyUSA,3/9/2016,3/10/2016,42.0,49.0,38.91546,48.8362,100
Nebraska,now-cast,Ipsos,7/29/2016,8/18/2016,34.72,49.39,34.175090000000004,50.94965,93
Missouri,now-cast,"Mason-Dixon Polling & Research, Inc.",10/24/2016,10/26/2016,42.0,47.0,40.87522,48.38695,115
District of Columbia,now-cast,SurveyMonkey,10/26/2016,11/1/2016,88.0,4.0,86.72195,4.421532,1
Connecticut,now-cast,SurveyMonkey,10/30/2016,11/6/2016,51.0,37.0,49.63081,36.42685,8
Kentucky,now-cast,Ipsos,9/30/2016,10/20/2016,41.04,51.6,39.91948,53.00727,120
Rhode Island,now-cast,SurveyMonkey,10/29/2016,11/4/2016,49.0,36.0,47.72393,35.7253,5
Arkansas,now-cast,Ipsos,7/29/2016,8/18/2016,39.83,44.73,39.50113,46.39166,75
Pennsylvania,now-cast,Greenberg Quinlan Rosner (Democracy Corps),6/11/2016,6/20/2016,45.0,36.0,46.62357,40.57154,67
Oregon,now-cast,SurveyMonkey,10/30/2016,11/6/2016,51.0,35.0,49.62898,34.42575,36
Florida,now-cast,SurveyMonkey,10/24/2016,10/30/2016,46.0,45.0,44.64569,45.6296,67
Pennsylvania,now-cast,Emerson College,8/25/2016,8/28/2016,45.9,42.7,48.28133,44.36539000000001,67
North Dakota,now-cast,SurveyMonkey,10/24/2016,10/30/2016,32.0,55.0,30.67666,55.78932,53
New York,now-cast,Quinnipiac University,3/22/2016,3/29/2016,53.0,33.0,53.2625,35.95421,62
Nebraska,now-cast,Ipsos,9/2/2016,9/22/2016,30.94,54.47,30.59801,54.79934,93
South Dakota,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,35.35,34.63,43.25976,43.97094,66
West Virginia,now-cast,SurveyMonkey,10/28/2016,11/3/2016,27.0,57.0,25.67791,56.81006,55
California,now-cast,Insights West,9/12/2016,9/14/2016,57.0,30.0,59.89836999999999,33.69147,58
Georgia,now-cast,SurveyUSA,7/29/2016,7/31/2016,42.0,46.0,42.90178,48.32895,159
Oklahoma,now-cast,Ipsos,8/26/2016,9/15/2016,32.12,53.18,30.9617,52.85831,77
Texas,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,30.24,43.55,35.577,51.24968,254
Alabama,now-cast,Ipsos,10/24/2016,11/6/2016,38.06,54.15,37.55526,53.6855,67
Maine,now-cast,SurveyMonkey,10/28/2016,11/3/2016,48.0,39.0,46.71137,38.87051,16
Ohio,now-cast,Rasmussen Reports/Pulse Opinion Research,10/25/2016,10/27/2016,46.0,42.0,46.5663,43.67013,88
