State,Poll Type,Clinton,Trump,Clinton Adjusted,Trump Adjusted
New Mexico,now-cast,46.0,44.0,45.04927,41.92541
Virginia,now-cast,48.0,43.0,47.457,42.35281
Iowa,now-cast,39.0,46.0,39.36898,45.67372
Wisconsin,now-cast,46.0,40.0,46.10277,41.02478
North Carolina,now-cast,44.0,44.0,44.26048,44.98719000000001
Georgia,now-cast,46.0,49.0,44.93772,48.44736
Florida,now-cast,46.0,45.0,46.36561,43.9599
North Carolina,now-cast,47.0,45.0,47.36008,43.9571
Virginia,now-cast,48.0,42.0,46.41451,41.55307
Georgia,now-cast,44.0,48.0,43.9247,47.3765
Oregon,now-cast,44.0,40.0,43.94072,39.38461
Ohio,now-cast,42.0,48.0,41.93433,47.38138
South Carolina,now-cast,43.0,48.0,42.925,47.37665
Ohio,now-cast,45.0,46.0,44.87926,45.07765
Virginia,now-cast,46.0,44.0,45.23176,41.96497
New York,now-cast,55.0,36.0,54.9355,35.38197
Michigan,now-cast,46.0,41.0,45.46421,40.35653
North Carolina,now-cast,49.0,47.0,47.93265,45.98781
Wisconsin,now-cast,49.0,41.0,48.19033,38.92152
Pennsylvania,now-cast,46.0,45.0,45.27345,43.00687
Virginia,now-cast,48.0,42.0,48.89658,43.81635
North Carolina,now-cast,45.0,48.0,44.37399,46.1083
Ohio,now-cast,44.0,45.0,42.9932,42.72552
Georgia,now-cast,43.0,49.0,43.75534,48.97356
Missouri,now-cast,37.0,50.0,36.56897,49.62803
New Hampshire,now-cast,45.4,43.8,45.41758,41.68962
Arizona,now-cast,43.0,45.0,42.93639,44.38242
Florida,now-cast,45.0,48.0,44.83015,46.56268
Pennsylvania,now-cast,48.0,44.0,46.83252,42.89052
Pennsylvania,now-cast,45.0,43.0,45.76747,42.9798
Nevada,now-cast,45.0,43.0,43.60592000000001,40.44767
Colorado,now-cast,44.0,43.0,43.93961,42.38405
Florida,now-cast,45.0,45.0,47.04525,46.84944
Wisconsin,now-cast,47.0,43.0,47.81342,42.95495
Ohio,now-cast,38.9,45.6,38.90148,43.48147
New Hampshire,now-cast,49.0,38.0,48.77016,39.15198
Pennsylvania,now-cast,47.0,43.0,47.75366,42.8364
Florida,now-cast,48.0,45.0,46.87209,45.87545
California,now-cast,53.0,33.0,53.87985,34.0645
Colorado,now-cast,42.0,41.0,40.18504,37.91566
New York,now-cast,51.0,34.0,51.34944,35.033770000000004
Nevada,now-cast,45.0,46.0,43.82519,43.5574
Pennsylvania,now-cast,46.0,40.0,45.93093,39.37966
Arizona,now-cast,40.0,45.0,38.67133,45.72822
Missouri,now-cast,38.0,54.0,37.6443,52.78773
Wisconsin,now-cast,47.0,44.0,46.93784,43.38316
Washington,now-cast,50.0,38.0,49.00631,36.95973
Virginia,now-cast,47.0,42.0,47.06984,41.47081
Wisconsin,now-cast,48.0,41.0,46.75041,39.81551
California,now-cast,54.0,30.0,54.30476,31.54165
Georgia,now-cast,44.0,45.0,42.63222,45.65755
California,now-cast,56.0,35.0,54.99168,34.28688
Florida,now-cast,47.0,45.0,45.5484,44.36333
Texas,now-cast,40.0,49.0,38.65643,49.70131
Missouri,now-cast,39.0,52.0,38.987,50.83235
Arizona,now-cast,45.0,44.0,43.41242,43.85367
Utah,now-cast,23.0,40.0,23.78063,39.98659
Colorado,now-cast,48.0,43.0,47.47256,42.36083
Virginia,now-cast,45.0,41.0,45.7419,40.1996
Utah,now-cast,19.6,39.8,19.79649,37.99446
North Carolina,now-cast,48.0,41.0,46.53767,40.3578
Texas,now-cast,43.0,46.0,41.54497,45.36156
Michigan,now-cast,44.0,42.0,42.55152,41.36494
North Carolina,now-cast,46.0,45.0,46.06071,44.46533
Missouri,now-cast,40.5,46.5,40.49911,44.38027
Ohio,now-cast,42.0,45.0,40.54963,44.36396
Pennsylvania,now-cast,46.0,43.0,44.54302,42.36056
Pennsylvania,now-cast,48.0,44.0,47.20349,42.21874
Colorado,now-cast,43.0,40.0,41.55986,39.36924000000001
New Mexico,now-cast,45.0,37.0,45.12741,36.58792
California,now-cast,56.0,31.0,54.55217,30.36527
Nevada,now-cast,43.0,49.0,42.21596,47.25
Arizona,now-cast,45.0,42.0,43.55363,41.36602
Georgia,now-cast,45.11,51.58,44.74571,48.65303
Arizona,now-cast,44.0,49.0,43.22177,47.26456
New Hampshire,now-cast,48.0,43.0,45.84086,40.91891
Georgia,now-cast,45.0,45.0,43.5309,44.35431
Michigan,now-cast,46.82,48.52,46.45571,45.59303
Florida,now-cast,49.0,47.0,48.21276,45.24199
Utah,now-cast,29.0,35.0,29.13106,34.83912
Wisconsin,now-cast,44.0,42.0,42.55644,41.36747
Virginia,now-cast,49.0,41.0,47.5443,40.36122
Florida,now-cast,46.0,45.0,46.11487,44.57666
New York,now-cast,57.0,32.0,55.55189,31.36513
North Carolina,now-cast,44.0,51.0,42.26065,49.51819
Michigan,now-cast,46.0,41.0,46.07977,40.47677
Florida,now-cast,46.13,49.72,45.76571,46.79303
North Carolina,now-cast,47.0,41.0,45.61544,42.67081
Florida,now-cast,42.0,46.0,42.43429,48.52064
Utah,now-cast,29.52,39.95,29.32823,37.11196
Florida,now-cast,45.0,44.0,43.63194,45.77339
Illinois,now-cast,52.0,35.0,50.54793,34.36309
Iowa,now-cast,41.0,44.0,41.74863,44.88503
Pennsylvania,now-cast,46.51,48.43,46.30506,45.58518
Iowa,now-cast,38.0,47.0,36.55981,46.36921
Indiana,now-cast,35.0,52.0,33.54308,51.36058
