State,Poll Type,Pollster,Start Date,End Date,Clinton,Trump,Clinton Adjusted,Trump Adjusted,Electoral Votes
Kentucky,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,32.6,35.16,39.83683,43.565,120.0
Rhode Island,now-cast,Google Consumer Surveys,9/14/2016,9/20/2016,46.4,30.9,54.47926,40.12908,5.0
Maine,now-cast,SurveyMonkey,8/9/2016,9/1/2016,37.0,34.0,39.55135,40.064679999999996,16.0
Indiana,now-cast,Google Consumer Surveys,8/17/2016,8/23/2016,31.81,35.98,39.33885,45.50871,92.0
Vermont,now-cast,SurveyMonkey,10/29/2016,11/4/2016,59.0,25.0,57.70689,24.70291,14.0
Texas,now-cast,SurveyMonkey,10/26/2016,11/1/2016,41.0,47.0,39.6544,47.193259999999995,254.0
Michigan,now-cast,SurveyMonkey,10/17/2016,10/25/2016,44.0,40.0,42.56192,41.7818,83.0
Massachusetts,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,42.9,28.07,51.12153,37.59206,14.0
Oregon,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,48.01,26.47,54.828669999999995,35.36646,36.0
South Dakota,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,28.25,44.01,33.697179999999996,52.60867,66.0
Georgia,now-cast,SurveyMonkey,10/24/2016,10/30/2016,44.0,46.0,42.61785,46.48604,159.0
Louisiana,now-cast,Google Consumer Surveys,10/4/2016,10/9/2016,22.83,49.2,28.74057,57.61763000000001,64.0
South Dakota,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,22.75,43.0,30.58206,52.000029999999995,66.0
West Virginia,now-cast,SurveyMonkey,10/24/2016,10/30/2016,27.0,59.0,25.65565,59.681000000000004,55.0
District of Columbia,now-cast,Google Consumer Surveys,10/10/2016,10/14/2016,58.06,21.25,63.7855,30.74612,1.0
Kansas,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,36.4,33.94,44.27212,43.22723,105.0
Idaho,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,27.77,37.57,33.11958,45.44027,44.0
Maine,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,45.25,17.56,53.074819999999995,28.11895,16.0
Maine,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,36.58,36.27,42.05247,45.15741,16.0
Arkansas,now-cast,SurveyMonkey,10/30/2016,11/6/2016,34.0,55.0,32.60603,54.41196,75.0
Washington,now-cast,Google Consumer Surveys,8/10/2016,8/16/2016,43.08,27.17,50.766529999999996,37.46188,39.0
Utah,now-cast,SurveyMonkey,10/27/2016,11/2/2016,30.0,33.0,28.66256,32.97923,29.0
Kansas,now-cast,SurveyMonkey,10/29/2016,11/4/2016,36.0,48.0,34.674479999999996,47.66034000000001,105.0
Ohio,now-cast,Google Consumer Surveys,9/7/2016,9/13/2016,31.14,34.34,38.84125,43.16471,88.0
North Carolina,now-cast,SurveyMonkey,8/9/2016,9/1/2016,40.0,41.0,42.00803,46.13603,100.0
Alaska,now-cast,Google Consumer Surveys,9/27/2016,10/3/2016,47.46,36.7,54.28901,45.6182,29.0
Tennessee,now-cast,SurveyMonkey,10/26/2016,11/1/2016,40.0,51.0,38.65477,51.19453,95.0
Maryland,now-cast,SurveyMonkey,10/30/2016,11/6/2016,60.0,29.0,58.6037,28.41057,24.0
Michigan,now-cast,SurveyMonkey,10/25/2016,10/31/2016,43.0,42.0,41.65435,42.44075,83.0
New Mexico,now-cast,Google Consumer Surveys,8/24/2016,8/30/2016,36.08,27.95,43.91854,37.524770000000004,33.0
Kentucky,now-cast,SurveyMonkey,10/27/2016,11/2/2016,35.0,56.0,33.66338,55.9794,120.0
Idaho,now-cast,Google Consumer Surveys,10/25/2016,10/27/2016,29.0,41.0,34.43622,48.08837,44.0
North Dakota,now-cast,Google Consumer Surveys,10/15/2016,10/19/2016,27.46,37.9,32.92256,46.67426,53.0
North Dakota,now-cast,SurveyMonkey,10/17/2016,10/25/2016,31.0,49.0,29.579290000000004,51.02576,53.0
Missouri,now-cast,Google Consumer Surveys,9/21/2016,9/26/2016,34.39,31.95,41.61463,40.33745,115.0
Alaska,now-cast,SurveyMonkey,10/18/2016,10/26/2016,31.0,46.0,29.56973,47.80209,29.0
Mississippi,now-cast,SurveyMonkey,10/17/2016,10/25/2016,42.0,50.0,40.53245,51.367909999999995,82.0
District of Columbia,now-cast,SurveyMonkey,10/26/2016,11/1/2016,88.0,4.0,86.72195,4.421532,1.0
Connecticut,now-cast,SurveyMonkey,10/30/2016,11/6/2016,51.0,37.0,49.63081,36.42685,8.0
Rhode Island,now-cast,SurveyMonkey,10/29/2016,11/4/2016,49.0,36.0,47.723929999999996,35.7253,5.0
Oregon,now-cast,SurveyMonkey,10/30/2016,11/6/2016,51.0,35.0,49.62898,34.42575,36.0
Florida,now-cast,SurveyMonkey,10/24/2016,10/30/2016,46.0,45.0,44.64569,45.6296,67.0
North Dakota,now-cast,SurveyMonkey,10/24/2016,10/30/2016,32.0,55.0,30.67666,55.78932,53.0
South Dakota,now-cast,Google Consumer Surveys,8/31/2016,9/6/2016,35.35,34.63,43.25976,43.97094,66.0
West Virginia,now-cast,SurveyMonkey,10/28/2016,11/3/2016,27.0,57.0,25.67791,56.81006,55.0
Texas,now-cast,Google Consumer Surveys,10/20/2016,10/24/2016,30.24,43.55,35.577,51.24968,254.0
Maine,now-cast,SurveyMonkey,10/28/2016,11/3/2016,48.0,39.0,46.71137,38.870509999999996,16.0
Kentucky,now-cast,Google Consumer Surveys,11/1/2016,11/7/2016,31.9,43.89,37.23211,49.40535,120.0
Illinois,now-cast,SurveyMonkey,10/29/2016,11/4/2016,53.0,36.0,51.66118,35.64288,102.0
Texas,now-cast,SurveyMonkey,10/8/2016,10/16/2016,42.0,44.0,40.82841,46.53125,254.0
Iowa,now-cast,SurveyMonkey,10/18/2016,10/26/2016,41.0,44.0,39.56627,45.755109999999995,99.0
New Mexico,now-cast,SurveyMonkey,10/27/2016,11/2/2016,40.0,35.0,38.68093,35.0234,33.0
